seed,audit_samples,axis,corner_prediction_identity_fraction,corner_trace_identity_fraction,mean_per_input_max_spike_hamming,prediction_identity_with_trace_change_fraction,relative_radius,variant_count
5772,861,joint_corners,0.8908246225319396,0.0,0.01717987804878049,0.8908246225319396,0.01,4
8119,861,timestep,1.0,0.9953542392566783,2.377322880371661e-05,0.004645760743321719,1e-06,2
8119,861,threshold,1.0,0.9953542392566783,2.377322880371661e-05,0.004645760743321719,1e-06,2
8119,861,joint_corners,1.0,0.9930313588850174,2.613240418118467e-05,0.006968641114982578,1e-06,4
8119,861,timestep,1.0,0.9581881533101045,0.00011614401858304297,0.041811846689895474,1e-05,2
8119,861,threshold,1.0,0.9547038327526133,0.0001453614982578397,0.04529616724738676,1e-05,2
8119,861,joint_corners,1.0,0.9303135888501742,0.00021595528455284552,0.06968641114982578,1e-05,4
8119,861,timestep,0.9953542392566783,0.7584204413472706,0.0007538472706155633,0.23693379790940766,0.0001,2
8119,861,threshold,0.9941927990708479,0.710801393728223,0.000860917537746806,0.28339140534262486,0.0001,2
8119,861,joint_corners,0.9883855981416957,0.5238095238095238,0.0014721254355400698,0.4645760743321719,0.0001,4
8119,861,timestep,0.9767711962833914,0.09407665505226481,0.004178462543554007,0.8826945412311266,0.001,2
8119,861,threshold,0.9767711962833914,0.056910569105691054,0.00450312137049942,0.9198606271777003,0.001,2
8119,861,joint_corners,0.9616724738675958,0.009291521486643438,0.00616688443670151,0.9523809523809523,0.001,4
8119,861,timestep,0.9419279907084785,0.0,0.012246116434378628,0.9419279907084785,0.01,2
8119,861,threshold,0.9337979094076655,0.0,0.01352279326364692,0.9337979094076655,0.01,2
8119,861,joint_corners,0.9047619047619048,0.0,0.019255770905923345,0.9047619047619048,0.01,4
