condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,source_model_hash,repaired_model_hash,report_code_revision
reset_to_value,8119,per_platform_qat,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.028268551236749095,0.028268551236749095,0.5076923076923078,0.16260162601626016,0.18471987140425133,0.15645132016750224,True,800,861,800,280,108928,28.16843639999979,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,e100ee7650474afdaddc12f665fd0e49370a7386fc66041d442743968ee16a10,uncommitted
reset_to_value,8119,supervised_target_retraining,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.18948763250883383,0.18948763250883383,-2.3000000000000003,0.42044134727061555,0.4488648622500251,0.25937722974119126,True,800,861,800,280,108928,27.97958639999979,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,7e80af78636770cf7001cf38a3a5c208248a9aa9e8241cf86af54c376d17a207,uncommitted
floor_rounding_saturation,1701,certificate_directed,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.030035335689045928,0.030035335689045928,0.9472459270752521,0.16144018583042974,0.18350194445303747,0.15346660876399154,True,800,861,0,280,640,45.038597799999934,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,14a6f558b453eb8aca32879197d30d1f355a042d868af7cf7c19e0cef79ac249,uncommitted
floor_rounding_saturation,1701,logit_only,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.053445229681978734,0.053445229681978734,0.9061287820015517,0.13821138211382114,0.15905958425277406,0.10561435457079532,True,800,861,0,280,640,43.80308809999997,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,61e501439087b3805dfe059e8b43e6e18ef32ae997d37348f7bfc6c7372162fd,uncommitted
floor_rounding_saturation,1701,global_threshold,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.4575971731448763,0.4575971731448763,0.1962761830876648,0.6933797909407665,0.7192882263916389,0.2616910532467626,True,800,861,0,0,1,7.112935800000059,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,b8e17b10fd317a5f3f859610ea47e9c9cea14891ef3751eca59bd0e77d7cfd31,uncommitted
floor_rounding_saturation,1701,per_platform_qat,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.0022084805653710404,0.0022084805653710404,0.9961210240496509,0.14518002322880372,0.1664098560881887,0.16420137552281766,True,800,861,800,280,108928,40.594671699999935,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,82d8d4a85529b6a46665d646fdac97bf104b4fab87e1380208abb6afc77e4bd8,uncommitted
floor_rounding_saturation,1701,supervised_target_retraining,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.2619257950530035,0.2619257950530035,0.5399534522885958,0.4367015098722416,0.46521491321111896,0.20328911815811546,True,800,861,800,280,108928,41.11672470000008,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,2927a0187fc21f12eb321b5c799e720bf17c1ba4b87926f8fdf96cade6d788f9,uncommitted
floor_rounding_saturation,2718,certificate_directed,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.060512367491166064,0.060512367491166064,0.8824034334763948,0.16144018583042974,0.18350194445303747,0.1229895769618714,True,800,861,0,280,640,44.92391869999983,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,41c6a3026e8eacd27cb49caadae815018f333fdec4225b5cb73c4dc1ef9ebab1,uncommitted
floor_rounding_saturation,2718,logit_only,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.039752650176678395,0.039752650176678395,0.9227467811158799,0.12311265969802555,0.14307621828563943,0.10332356810896104,True,800,861,0,280,640,44.12437450000016,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,287c035cef104d83fc77e7c23f1946ef17da1e3e10c637baf17034d996a4035f,uncommitted
floor_rounding_saturation,2718,global_threshold,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.4646643109540636,0.4646643109540636,0.09699570815450648,0.7038327526132404,0.7294613790510152,0.2647970680969516,True,800,861,0,0,1,6.497913700000026,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,a0babb08b052af1b2a78735baff3e7787cb20a1bab707565242af0de0c01c0cc,uncommitted
floor_rounding_saturation,2718,per_platform_qat,0.5145759717314488,0.5145759717314488,0.7845515901320919,-0.030918727915194344,0.030918727915194344,1.0600858369098713,0.14518002322880372,0.1664098560881887,0.13549112817299436,True,800,861,800,280,108928,39.5609743,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,2b8e6a56e02e8a64b279a6798920cfad44e00ebcf0bd6194ec03af07c70543b3,uncommitted
floor_rounding_saturation,2718,supervised_target_retraining,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.20318021201413428,0.20318021201413428,0.6051502145922747,0.4448315911730546,0.4733785557210969,0.2701983437069626,True,800,861,800,280,108928,38.98628399999984,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,ef1196ca39047ee14c23e5233729d4e7b5defb47b4642627fd0d25db545d064e,uncommitted
floor_rounding_saturation,3141,certificate_directed,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.07287985865724378,0.07287985865724378,0.8643092105263158,0.17073170731707318,0.19323508331916667,0.12035522466192289,True,800,861,0,280,640,41.81645789999993,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,362149c39c6626e58e7b520b401c90c819cf59b67687a59e3a2288f52b370578,uncommitted
floor_rounding_saturation,3141,logit_only,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.04240282685512364,0.04240282685512364,0.9210526315789475,0.14169570267131243,0.1627367077669452,0.12033388091182157,True,800,861,0,280,640,41.378208000000086,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0c3a2a52f8980e334ecde9e5065745d9981df5f885e56934af048734247ef7f5,uncommitted
