seed,box_hash,certified_fraction,certified_inputs,relative_radius,samples,seconds,varied_axis
5772,3ed071a748880cef13f9191f8e314695b9956e428b0045cc00fbd9250ec338f9,0.9105691056910569,784,1e-06,861,0.5423597001936287,joint
5772,f687448bb660790577e3153a7007fa60de8fba14827a9df9f9d4de15f2d9690c,0.5226480836236934,450,1e-05,861,0.5465598001610488,joint
5772,e82fc029a81182fd43da6b2bbfbd6471e8db3f00164a4410125326f02074175a,0.0,0,0.0001,861,0.5271838000044227,joint
5772,b22735a0eec55caffc70f733b8ed8f5c2d5e8c39d909695f4fa256f250cd0b9e,0.0,0,0.001,861,0.544909699819982,joint
5772,7fe1103701710ba7a1b10c9029c5d2d3d396577e2f121fc7e79a80a27f289ce0,0.0,0,0.01,861,0.5451115001924336,joint
8119,066c5d236806a1cc3848ff7f23746076c05ed7e67569f39d0ed96d178a5dff90,0.9361207897793263,806,1e-06,861,0.7737833999563009,timestep
8119,195e564f4786b99558f2af2c82da20e5c4cf08c3b08d6f0dac9bd45b2fd941d6,0.6016260162601627,518,1e-05,861,0.7426807000301778,timestep
8119,e6fc43d9ae1976b8b54da7d017c4d7ac2320b11275bca0290f206fe5c9a43d9e,0.0,0,0.0001,861,0.6624185000546277,timestep
8119,1395c3d502460c1000f04cdd52fc58058773030a439bfe1cd5f2c0f4dd08306d,0.0,0,0.001,861,0.5912283000070602,timestep
8119,037f0ee97feffd997e1810ffe5db64c5291b361b3fecb6935e935d9b42d4adac,0.0,0,0.01,861,0.556616900023073,timestep
8119,678681e58f7ea54f369a865d944f02f7554b4bb18ca9c783ce173d901c6ba02b,0.9523809523809523,820,1e-06,861,0.537666300078854,threshold
8119,8c5a448b9e140cf214c51e6524114a2656c0e8f2e17a7d6c16f785b667736e87,0.7212543554006968,621,1e-05,861,0.5441444998141378,threshold
8119,d721fbd6c19b4661cfbb643cdb179823d734e0f3701efd7b81291b9f6de315f2,0.026713124274099883,23,0.0001,861,0.5387893998995423,threshold
8119,226dc84e0cdf2fc914685ad31d7a26f5131a383b656fae608f89cddcbf9e62cb,0.0,0,0.001,861,0.5308111999183893,threshold
8119,eeee402f488867a5e705759423eeed2357d887cf5a67b77c9bf0265d256c70c9,0.0,0,0.01,861,0.5261820999439806,threshold
8119,3ed071a748880cef13f9191f8e314695b9956e428b0045cc00fbd9250ec338f9,0.9024390243902439,777,1e-06,861,0.5214597000740469,joint
8119,f687448bb660790577e3153a7007fa60de8fba14827a9df9f9d4de15f2d9690c,0.4912891986062718,423,1e-05,861,0.5742059000767767,joint
8119,e82fc029a81182fd43da6b2bbfbd6471e8db3f00164a4410125326f02074175a,0.0,0,0.0001,861,0.6882344000041485,joint
8119,b22735a0eec55caffc70f733b8ed8f5c2d5e8c39d909695f4fa256f250cd0b9e,0.0,0,0.001,861,0.5648926999419928,joint
8119,7fe1103701710ba7a1b10c9029c5d2d3d396577e2f121fc7e79a80a27f289ce0,0.0,0,0.01,861,0.5376187001820654,joint
