seed,condition,semantics_hash,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
2718,reset_to_value,4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,228,861,0.26480836236933797,0.305367911699593,0.6881625441696113,0.5861307420494699,0.1020318021201414,0.1020318021201414,0.20333610957945158,True
2718,exponential_euler,ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,148,861,0.1718931475029036,0.20739598927165231,0.6881625441696113,0.6523851590106007,0.03577738515901063,0.03577738515901063,0.17161860411264168,True
2718,pre_integration_threshold,2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,188,861,0.2183507549361208,0.2567184638690031,0.6881625441696113,0.6409010600706714,0.04726148409893993,0.04726148409893993,0.20945697977006317,True
2718,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,44,861,0.05110336817653891,0.0736298436969311,0.6881625441696113,0.6890459363957597,-0.0008833922261484162,0.0008833922261484162,0.07274645147078268,True
2718,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,655,861,0.7607433217189314,0.797237667444747,0.6881625441696113,0.17358657243816256,0.5145759717314488,0.5145759717314488,0.28266169571329824,True
2718,synaptic_delay_1,506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,188,861,0.2183507549361208,0.2567184638690031,0.6881625441696113,0.6409010600706714,0.04726148409893993,0.04726148409893993,0.20945697977006317,True
2718,reset_to_value__delay_1,7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,374,861,0.4343786295005807,0.4787412643450478,0.6881625441696113,0.49514134275618377,0.19302120141342755,0.19302120141342755,0.2857200629316203,True
2718,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,133,861,0.15447154471544716,0.18868740127983064,0.6881625441696113,0.6528268551236749,0.035335689045936425,0.035335689045936425,0.1533517122338942,True
2718,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,664,861,0.7711962833914053,0.8070576563796839,0.6881625441696113,0.1704946996466431,0.5176678445229682,0.5176678445229682,0.28938981185671564,True
2718,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,370,861,0.429732868757259,0.4740658906716593,0.6881625441696113,0.5075088339222615,0.18065371024734977,0.18065371024734977,0.2934121804243095,True
3141,reset_to_value,4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,224,861,0.2601626016260163,0.3005293141250479,0.7583922261484098,0.6351590106007067,0.12323321554770317,0.12323321554770317,0.17729609857734474,True
3141,exponential_euler,ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,156,861,0.18118466898954705,0.217322697619939,0.7583922261484098,0.7036219081272085,0.05477031802120136,0.05477031802120136,0.16255237959873764,True
3141,pre_integration_threshold,2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,148,861,0.1718931475029036,0.20739598927165231,0.7583922261484098,0.7128975265017667,0.0454946996466431,0.0454946996466431,0.16190128962500921,True
3141,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,42,861,0.04878048780487805,0.07090484531487892,0.7583922261484098,0.7508833922261484,0.007508833922261426,0.007508833922261426,0.0633960113926175,True
3141,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,651,861,0.7560975609756098,0.7928632633255783,0.7583922261484098,0.22128975265017667,0.5371024734982331,0.5371024734982331,0.2557607898273452,True
3141,synaptic_delay_1,506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,148,861,0.1718931475029036,0.20739598927165231,0.7583922261484098,0.7128975265017667,0.0454946996466431,0.0454946996466431,0.16190128962500921,True
3141,reset_to_value__delay_1,7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,331,861,0.38443670150987225,0.42827461094601427,0.7583922261484098,0.5631625441696113,0.19522968197879853,0.19522968197879853,0.23304492896721574,True
3141,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,153,861,0.17770034843205576,0.2136041365501926,0.7583922261484098,0.6868374558303887,0.07155477031802115,0.07155477031802115,0.14204936623217146,True
3141,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,654,861,0.759581881533101,0.7961446316804881,0.7583922261484098,0.22217314487632508,0.5362190812720847,0.5362190812720847,0.25992555040840337,True
3141,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,339,861,0.39372822299651566,0.43769867320356304,0.7583922261484098,0.5574204946996466,0.20097173144876324,0.20097173144876324,0.2367269417547998,True
5772,reset_to_value,4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,191,861,0.2218350754936121,0.26038860905884,0.6978798586572438,0.6015901060070671,0.0962897526501767,0.0962897526501767,0.16409885640866329,True
5772,exponential_euler,ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,121,861,0.140534262485482,0.17362077582298718,0.6978798586572438,0.6501766784452296,0.04770318021201414,0.04770318021201414,0.12591759561097304,True
5772,pre_integration_threshold,2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,136,861,0.15795586527293845,0.19243970477042077,0.6978798586572438,0.6815371024734982,0.016342756183745588,0.016342756183745588,0.17609694858667518,True
5772,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,36,861,0.041811846689895474,0.0626577616810497,0.6978798586572438,0.6934628975265018,0.00441696113074197,0.00441696113074197,0.058240800550307725,True
5772,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,721,861,0.8373983739837398,0.8684224300011876,0.6978798586572438,0.14620141342756185,0.5516784452296819,0.5516784452296819,0.31674398477150567,True
5772,synaptic_delay_1,506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,136,861,0.15795586527293845,0.19243970477042077,0.6978798586572438,0.6815371024734982,0.016342756183745588,0.016342756183745588,0.17609694858667518,True
5772,reset_to_value__delay_1,7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,276,861,0.3205574912891986,0.36302701454624264,0.6978798586572438,0.553886925795053,0.14399293286219073,0.14399293286219073,0.21903408168405192,True
5772,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,137,861,0.15911730545876887,0.19368925876432352,0.6978798586572438,0.6528268551236749,0.04505300353356889,0.04505300353356889,0.14863625523075463,True
5772,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,719,861,0.835075493612079,0.866297190575436,0.6978798586572438,0.14664310954063603,0.5512367491166077,0.5512367491166077,0.3150604414588283,True
5772,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,295,861,0.3426248548199768,0.3856601563699311,0.6978798586572438,0.5499116607773852,0.1479681978798586,0.1479681978798586,0.23769195849007252,True
8119,reset_to_value,4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,169,861,0.19628339140534262,0.23338438301517112,0.6969964664310954,0.6395759717314488,0.05742049469964661,0.05742049469964661,0.1759638883155245,True
8119,exponential_euler,ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,104,861,0.1207897793263647,0.15210109783021292,0.6969964664310954,0.6934628975265018,0.0035335689045935537,0.0035335689045935537,0.14856752892561936,True
8119,pre_integration_threshold,2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,134,861,0.15563298490127758,0.18993878148786603,0.6969964664310954,0.7173144876325088,-0.02031802120141346,0.02031802120141346,0.16962076028645257,True
8119,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,51,861,0.059233449477351915,0.08308681299334766,0.6969964664310954,0.7045053003533569,-0.0075088339222615375,0.0075088339222615375,0.07557797907108613,True
8119,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,694,861,0.8060394889663183,0.8395482604893214,0.6969964664310954,0.18860424028268552,0.5083922261484098,0.5083922261484098,0.33115603434091156,True
8119,synaptic_delay_1,506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,134,861,0.15563298490127758,0.18993878148786603,0.6969964664310954,0.7173144876325088,-0.02031802120141346,0.02031802120141346,0.16962076028645257,True
8119,reset_to_value__delay_1,7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,258,861,0.29965156794425085,0.34148871846580986,0.6969964664310954,0.6095406360424028,0.08745583038869253,0.08745583038869253,0.2540328880771173,True
8119,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,115,861,0.13356562137049943,0.16605057136476337,0.6969964664310954,0.6965547703180212,0.0004416961130742081,0.0004416961130742081,0.16560887525168916,True
8119,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,697,861,0.8095238095238095,0.8427749946479082,0.6969964664310954,0.19302120141342757,0.5039752650176678,0.5039752650176678,0.3387997296302404,True
8119,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,261,861,0.30313588850174217,0.345085165636313,0.6969964664310954,0.6046819787985865,0.09231448763250882,0.09231448763250882,0.25277067800380415,True
