condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,source_model_hash,repaired_model_hash,report_code_revision
reset_to_value,8119,certificate_directed,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.01369257950530034,0.01369257950530034,0.7615384615384616,0.10685249709639953,0.12576286487179594,0.1120702853664956,True,800,861,0,280,640,27.59839990013279,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,6b74947db194ddb56833e601a98bf3d78e1c7ccdc6b539295c8824740239a448,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,8119,logit_only,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.01369257950530034,0.01369257950530034,0.7615384615384616,0.09523809523809523,0.11332126014115312,0.09962868063585278,True,800,861,0,280,640,28.413261499954388,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,b55a712352e722b3578aca145cd29df77928901a176cef436cb10591f93abd84,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,8119,global_threshold,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.044611307420494684,0.044611307420494684,0.22307692307692287,0.13472706155632985,0.15537836020144624,0.11076705278095156,True,800,861,0,0,1,4.53368949983269,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,ff04447b41686363f0bf116d70c05b25b92aa87121a24e500915bb8f8204e727,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,8119,per_platform_qat,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.028268551236749095,0.028268551236749095,0.5076923076923078,0.16260162601626016,0.18471987140425133,0.15645132016750224,True,800,861,800,280,108928,26.27516010007821,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,e100ee7650474afdaddc12f665fd0e49370a7386fc66041d442743968ee16a10,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,8119,supervised_target_retraining,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.18948763250883383,0.18948763250883383,-2.3000000000000003,0.42044134727061555,0.4488648622500251,0.25937722974119126,True,800,861,800,280,108928,26.51153439981863,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,7e80af78636770cf7001cf38a3a5c208248a9aa9e8241cf86af54c376d17a207,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,1701,certificate_directed,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.03356890459363959,0.03356890459363959,0.9410395655546935,0.17305458768873402,0.19566478775665502,0.16209588316301543,True,800,861,0,280,640,38.70510690007359,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,cb6dfd584db763bf8cf0b4b717dcf880a4373370cdeee1a6164911bed92ca0a2,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,1701,logit_only,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.03798586572438156,0.03798586572438156,0.9332816136539954,0.13472706155632985,0.15537836020144624,0.11739249447706468,True,800,861,0,280,640,39.15588949993253,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,5e00ebe5a67a8f9122e4328505a3c7f1c0a09093ec2997428d5ee0c745983315,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,1701,global_threshold,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.4575971731448763,0.4575971731448763,0.1962761830876648,0.6933797909407665,0.7192882263916389,0.2616910532467626,True,800,861,0,0,1,6.265540800057352,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,b8e17b10fd317a5f3f859610ea47e9c9cea14891ef3751eca59bd0e77d7cfd31,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,1701,per_platform_qat,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.0022084805653710404,0.0022084805653710404,0.9961210240496509,0.14518002322880372,0.1664098560881887,0.16420137552281766,True,800,861,800,280,108928,36.64831579988822,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,82d8d4a85529b6a46665d646fdac97bf104b4fab87e1380208abb6afc77e4bd8,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,1701,supervised_target_retraining,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.2619257950530035,0.2619257950530035,0.5399534522885958,0.4367015098722416,0.46521491321111896,0.20328911815811546,True,800,861,800,280,108928,41.10848250007257,True,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,2927a0187fc21f12eb321b5c799e720bf17c1ba4b87926f8fdf96cade6d788f9,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,2718,certificate_directed,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.055653710247349775,0.055653710247349775,0.8918454935622319,0.15563298490127758,0.17740659605285314,0.12175288580550336,True,800,861,0,280,640,38.725625899853185,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,622c0ae37b6178b4334d14526a92713c2f254c2a65d3060e19c9051919fdeec1,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
