member_index,member_label,semantics_hash,integration_rule,threshold_timing,reset_rule,synaptic_delay_steps,maximum_polygon_leaves,certified,certified_parameter_fraction,unresolved_parameter_fraction,branch_certified_leaves,affine_certified_leaves,unresolved_leaves,branch_cap_hits,branch_prediction_rejections,seconds
12,"EXP, pre, sub, d0",0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d,exponential_euler,pre_integration,subtractive,0,16,False,0.39245880533915833,0.6075411946608417,8,0,8,21,0,9.715394000000742
12,"EXP, pre, sub, d0",0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d,exponential_euler,pre_integration,subtractive,0,64,False,0.817477937332072,0.18252206266792803,44,0,20,81,0,63.854074499999115
12,"EXP, pre, sub, d0",0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d,exponential_euler,pre_integration,subtractive,0,256,True,1.0,0.0,121,0,0,118,0,166.1039865999992
13,"EXP, pre, sub, d1",41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6,exponential_euler,pre_integration,subtractive,1,16,False,0.1721895255637601,0.8278104744362399,4,0,12,26,0,7.9090503999996145
13,"EXP, pre, sub, d1",41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6,exponential_euler,pre_integration,subtractive,1,64,False,0.7561321246214187,0.24386787537858134,45,0,19,81,0,70.73563300000023
13,"EXP, pre, sub, d1",41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6,exponential_euler,pre_integration,subtractive,1,256,True,1.0,0.0,151,0,0,149,0,193.2253311000004
14,"EXP, pre, value, d0",aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652,exponential_euler,pre_integration,to_value,0,16,False,0.17442550309270471,0.8255744969072953,6,0,10,24,0,9.774613699999463
14,"EXP, pre, value, d0",aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652,exponential_euler,pre_integration,to_value,0,64,False,0.9707915770930192,0.02920842290698078,57,0,7,69,0,82.76786019999963
14,"EXP, pre, value, d0",aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652,exponential_euler,pre_integration,to_value,0,256,True,1.0,0.0,71,0,0,69,0,98.10635550000006
15,"EXP, pre, value, d1",7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10,exponential_euler,pre_integration,to_value,1,16,False,0.1789227656090569,0.8210772343909432,6,0,10,24,0,9.930501799999547
15,"EXP, pre, value, d1",7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10,exponential_euler,pre_integration,to_value,1,64,True,1.0,0.0,51,0,0,49,0,70.41044209999927
15,"EXP, pre, value, d1",7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10,exponential_euler,pre_integration,to_value,1,256,True,1.0,0.0,51,0,0,49,0,70.0860773000004
