seed,box_hash,exact_family_agreement_fraction,exact_family_agreement_inputs,exact_seconds,family,maximum_final_logit_interval_width,median_final_logit_interval_width,member_count,member_semantics_hashes,observed_unsound_certificates,p90_final_logit_interval_width,samples,static_certified_fraction,static_certified_inputs,static_seconds
2718,ff1e52035f7c29b74ebe9b65272c73af3cbce6a4e60c0be79f271911df3ce69c,0.3426248548199768,295,3.4124585001263767,full,34.99729266948998,6.465224824452889,16,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f', '7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295', 'e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7', 'b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35', 'be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3', '43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf', 'c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d', '2b25ae05766213663dd7cea58d31c3722f85b4a6e1df173affbf8a33c030f36e', '0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d', '41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6', 'aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652', '7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10']",0,14.097871567370023,861,0.18815331010452963,162,4.457208700012416
2718,00b3f742091e41e4469f82de5e86f70e4315fb8afc897516188aca406e9ebb6a,0.9488966318234611,817,0.45250699995085597,fixed_nearest,0.0,0.0,1,['7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815'],0,0.0,861,0.9488966318234611,817,0.5929485999513417
2718,d39c93b23c115eb5ac4a10ebbe80d2f87a28628ff48b5e83e10c6d37872c71c6,0.23925667828106853,206,0.4496815998572856,fixed_floor,0.0,0.0,1,['5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6'],0,0.0,861,0.23925667828106853,206,0.6043551999609917
3141,46e16da88852a106b08ad7a4b58c741d6d2d3a5ea0a4eb35b8912721c9c135fe,0.7398373983739838,637,0.6545275999233127,reset,20.75581197720021,2.240165071329102,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f']",0,6.985097052634229,861,0.4912891986062718,423,1.1668054000474513
3141,d5e8343d5f2db43f9baadc1dd82a8dec788a9ec08d288fd8122ff4a1b1af38fb,0.818815331010453,705,0.626050699967891,integration,12.89644866809249,1.30993030348327,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3']",0,4.087257006182336,861,0.7456445993031359,642,1.0372434000018984
3141,fd7642b922760a5b7b487921b39d48dc1739013e407a713da2657bebf37ab4a8,0.8281068524970964,713,0.6301979999989271,timing,11.452862728387117,1.3846183957066387,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295']",0,3.6432273057755085,861,0.778164924506388,670,0.77356670005247
3141,732fc36562002d4ff9a61c0af5d19d783c008135dac91ce7ea3639e191e7fd32,0.8281068524970964,713,0.5974248999264091,delay,11.452862728387117,1.3846183957066387,2,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667']",0,3.6432273057755085,861,0.778164924506388,670,0.7530346000567079
3141,ff1e52035f7c29b74ebe9b65272c73af3cbce6a4e60c0be79f271911df3ce69c,0.38443670150987225,331,3.3587161998730153,full,29.0796408187598,5.18224030174315,16,"['414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1', '506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667', '4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f', '7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746', '2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295', 'e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7', 'b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35', 'be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff', 'ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3', '43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf', 'c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d', '2b25ae05766213663dd7cea58d31c3722f85b4a6e1df173affbf8a33c030f36e', '0b15e288755ec19a981346126b85513adab80d36108dfaf62aecb653a721070d', '41dc4338bcc2fa000188b3cc0e6a09ce6c70b00f27849d33d4c2fcd9521f03e6', 'aa596ec4ed2e62e783164df9cc5949cd063c1a755167b2cb69cbf1ede4c1a652', '7275871ecce0b99d8d3cfe86dc7843f7863b464e3a4e494c8f11abb6e85c9a10']",0,11.6012140783394,861,0.1916376306620209,165,4.048210599925369
3141,00b3f742091e41e4469f82de5e86f70e4315fb8afc897516188aca406e9ebb6a,0.9512195121951219,819,0.44845280004665256,fixed_nearest,0.0,0.0,1,['7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815'],0,0.0,861,0.9512195121951219,819,0.6043644000310451
3141,d39c93b23c115eb5ac4a10ebbe80d2f87a28628ff48b5e83e10c6d37872c71c6,0.24390243902439024,210,0.434742100071162,fixed_floor,0.0,0.0,1,['5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6'],0,0.0,861,0.24274099883855982,209,0.5879285999108106
