seed,condition,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
2718,synaptic_delay_1,0,104,0.0,0.04966940415125787,0.8371212121212122,0.8446969696969697,-0.007575757575757569,0.007575757575757569,0.0420936465755003,True
2718,reset_to_value__delay_1,13,104,0.125,0.23057375117892237,0.8371212121212122,0.8143939393939394,0.022727272727272707,0.022727272727272707,0.20784647845164966,True
2718,exponential__fixed,16,104,0.15384615384615385,0.26520561909248597,0.8371212121212122,0.7878787878787878,0.04924242424242431,0.04924242424242431,0.21596319485006166,True
2718,pre_threshold__floor,60,104,0.5769230769230769,0.7004563506283581,0.8371212121212122,0.5265151515151515,0.31060606060606066,0.31060606060606066,0.38985029002229743,True
2718,reset__fixed__delay_1,14,104,0.1346153846153846,0.24224677666365424,0.8371212121212122,0.803030303030303,0.03409090909090917,0.03409090909090917,0.20815586757274507,True
3141,reset_to_value,13,104,0.125,0.23057375117892237,0.8712121212121212,0.8257575757575758,0.045454545454545414,0.045454545454545414,0.18511920572437696,True
3141,exponential_euler,17,104,0.16346153846153846,0.2765105510136773,0.8712121212121212,0.7916666666666666,0.07954545454545459,0.07954545454545459,0.1969650964682227,True
3141,pre_integration_threshold,0,104,0.0,0.04966940415125787,0.8712121212121212,0.8674242424242424,0.0037878787878787845,0.0037878787878787845,0.04588152536337908,True
3141,fixed_q8_weights_q16_state,0,104,0.0,0.04966940415125787,0.8712121212121212,0.8787878787878788,-0.007575757575757569,0.007575757575757569,0.0420936465755003,True
3141,floor_rounding_saturation,63,104,0.6057692307692307,0.7266386040442527,0.8712121212121212,0.3787878787878788,0.49242424242424243,0.49242424242424243,0.2342143616200103,True
3141,synaptic_delay_1,0,104,0.0,0.04966940415125787,0.8712121212121212,0.8674242424242424,0.0037878787878787845,0.0037878787878787845,0.04588152536337908,True
3141,reset_to_value__delay_1,10,104,0.09615384615384616,0.19462497745646073,0.8712121212121212,0.821969696969697,0.0492424242424242,0.0492424242424242,0.14538255321403654,True
3141,exponential__fixed,14,104,0.1346153846153846,0.24224677666365424,0.8712121212121212,0.8143939393939394,0.05681818181818177,0.05681818181818177,0.18542859484547247,True
