benchmark,seed,condition,samples,disagreement_rate,reference_favoring_accuracy_change,target_favoring_accuracy_change,reference_favoring_labels_hash,target_favoring_labels_hash,reference_witness_attains_bound,target_witness_attains_bound
N-MNIST,1701,reset__fixed__delay_1,6005,0.0138218151540383,0.013821815154038353,0.013821815154038353,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,e6ee3a978dabcbcefb63a40e9f2572704462c7bfbbe64a0a7092703222febfb2,True,True
N-MNIST,1701,reset_to_value,6005,0.013322231473771857,0.013322231473771873,0.013322231473771873,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,c462d2e881021a0b569f347d0032ddbd688e55f39623651482ddb420738331a0,True,True
N-MNIST,1701,reset_to_value__delay_1,6005,0.013322231473771857,0.013322231473771873,0.013322231473771873,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,893fec8701208a533e6aeb3322cb0bbb19cc9d37de437749bbd42ec16a87bb39,True,True
N-MNIST,1701,synaptic_delay_1,6005,0.00016652789342214822,0.00016652789342219698,0.00016652789342219698,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,398bad0b7f81bf765356fb3c2c9fda7aeb114f1b264efe638578af280bd03ccd,True,True
N-MNIST,2718,exponential__fixed,6005,0.01298917568692756,0.01298917568692759,0.01298917568692759,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,e9d5ce31a2ad919b6ec2c0f10090fa8f0234123828036929f60aa449c55976ef,True,True
N-MNIST,2718,exponential_euler,6005,0.011323896752706078,0.011323896752706064,0.011323896752706064,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,12519a856c9126e54b878943275155efd5f32aaf547cea4011f95d7a82aa7b9d,True,True
N-MNIST,2718,fixed_q8_weights_q16_state,6005,0.007660283097418817,0.007660283097418841,0.007660283097418841,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,a7544d844f324913356287e7cbbe409af9f3e93b3dffffbbdd243acee0d6d4dc,True,True
N-MNIST,2718,floor_rounding_saturation,6005,0.07593671940049958,0.07593671940049962,0.07593671940049962,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,0af67aab72cd05ab4c0ba7121c1dfa85901560e3fbb29391c95ec0d26ff25842,True,True
N-MNIST,2718,pre_integration_threshold,6005,0.00016652789342214822,0.00016652789342219698,0.00016652789342219698,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,763e2e3be6c3d4811b26c08e7a8f86314f0c9ceb8486038290e790c3814a6a6e,True,True
N-MNIST,2718,pre_threshold__floor,6005,0.07593671940049958,0.07593671940049962,0.07593671940049962,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,0af67aab72cd05ab4c0ba7121c1dfa85901560e3fbb29391c95ec0d26ff25842,True,True
N-MNIST,2718,reset__fixed__delay_1,6005,0.011823480432972523,0.011823480432972544,0.011823480432972544,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,9d69658a8cd840ccab66da0c7a45d21883e6791fb49700c7d8d44abc2249f108,True,True
N-MNIST,2718,reset_to_value,6005,0.009991673605328892,0.009991673605328932,0.009991673605328932,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,58d1697d00e185f5aa7d023e1fdc7f58c08554f1467e4123f17692564007d98f,True,True
N-MNIST,2718,reset_to_value__delay_1,6005,0.009991673605328892,0.009991673605328932,0.009991673605328932,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,58d1697d00e185f5aa7d023e1fdc7f58c08554f1467e4123f17692564007d98f,True,True
N-MNIST,2718,synaptic_delay_1,6005,0.00016652789342214822,0.00016652789342219698,0.00016652789342219698,73de0c84a723596afd472916610519f0c63e6a6cd23663191cd54e56eaca47a3,763e2e3be6c3d4811b26c08e7a8f86314f0c9ceb8486038290e790c3814a6a6e,True,True
N-MNIST,3141,exponential__fixed,6005,0.009825145711906744,0.009825145711906735,0.009825145711906735,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,94df31bb6e1ddf388a64fff363cef6889b4eb2de6c7f244e67a153b72687a561,True,True
N-MNIST,3141,exponential_euler,6005,0.009991673605328892,0.009991673605328932,0.009991673605328932,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,3c793e4ad1ef186c73e651e48f4af359171c735357acb037eb4c11cd50f02aba,True,True
N-MNIST,3141,fixed_q8_weights_q16_state,6005,0.004995836802664446,0.004995836802664466,0.004995836802664466,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,f93e12a2bb3c9668776cd5137fb3e21a1edc8e1ffe34ad8f50018eee35eed5b3,True,True
N-MNIST,3141,floor_rounding_saturation,6005,0.06477935054121566,0.06477935054121564,0.06477935054121564,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,a9e39556b68886f5106ed0c5a60fbb41d08c344e913666126f809248c6965992,True,True
N-MNIST,3141,pre_integration_threshold,6005,0.0,0.0,0.0,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,True,True
